agent_name,tier,role,entrypoint_module,entrypoint_object,deployment_status,agent_engine_id,project_id,location,deployed_date,display_name,notes
bob,1,Conversational UI,agents.bob.agent,app,DEPLOYED,7522671640266670080,bobs-brain,us-central1,2025-12-22,Bob (Global Orchestrator) (dev),Tier 1 - User-facing conversational agent with Vertex Search
iam-senior-adk-devops-lead,2,Foreman/Orchestrator,agents.iam_senior_adk_devops_lead.agent,app,DEPLOYED,8568632653723467776,bobs-brain,us-central1,2025-12-22,IAM Senior ADK DevOps Lead (Foreman) (dev),Tier 2 - Workflow orchestrator for SWE pipeline
iam-adk,3,ADK Compliance Specialist,agents.iam_adk.agent,app,DEPLOYED,2033909594408878080,bobs-brain,us-central1,2025-12-22,IAM ADK (Specialist) (dev),Tier 3 - ADK/Vertex pattern compliance checker
iam-issue,3,GitHub Issue Creator,agents.iam_issue.agent,app,DEPLOYED,412613728555499520,bobs-brain,us-central1,2025-12-22,IAM Issue (Specialist) (dev),Tier 3 - Creates GitHub issues from audit findings
iam-fix-plan,3,Fix Planning Specialist,agents.iam_fix_plan.agent,app,DEPLOYED,1604941729901838336,bobs-brain,us-central1,2025-12-22,IAM Fix Plan (Specialist) (dev),Tier 3 - Designs fix strategies for violations
iam-fix-impl,3,Fix Implementation Specialist,agents.iam_fix_impl.agent,app,DEPLOYED,6216627748329226240,bobs-brain,us-central1,2025-12-22,IAM Fix Implementation (Specialist) (dev),Tier 3 - Implements code fixes
iam-qa,3,QA Validation Specialist,agents.iam_qa.agent,app,DEPLOYED,6222257247863439360,bobs-brain,us-central1,2025-12-22,IAM QA (Specialist) (dev),Tier 3 - Tests and validates fixes
iam-doc,3,Documentation Specialist,agents.iam_doc.agent,app,DEPLOYED,3974961033805561856,bobs-brain,us-central1,2025-12-22,IAM Documentation (Specialist) (dev),Tier 3 - Writes AARs and documentation
iam-cleanup,3,Repository Cleanup Specialist,agents.iam_cleanup.agent,app,DEPLOYED,6369750135659823104,bobs-brain,us-central1,2025-12-22,IAM Cleanup (Specialist) (dev),Tier 3 - Repository hygiene and cleanup
iam-index,3,Knowledge Indexing Specialist,agents.iam_index.agent,app,DEPLOYED,2055301692638887936,bobs-brain,us-central1,2025-12-22,IAM Index (Specialist) (dev),Tier 3 - Maintains ADK/Vertex pattern knowledge
bob-battalion-commander,LEGACY,Production (Pre-Hard Mode),ARCHIVED,ARCHIVED,DEPLOYED,5828234061910376448,205354194989,us-central1,2025-11-10,bob-battalion-commander,Legacy production Bob - to be replaced by Hard Mode bob
unknown-agent-9040,LEGACY,Unknown,UNKNOWN,UNKNOWN,DEPLOYED,1616875829109719040,205354194989,us-central1,UNKNOWN,unknown-9040,Legacy agent - needs investigation and decommission
unknown-agent-4704,LEGACY,Unknown,UNKNOWN,UNKNOWN,DEPLOYED,7211261359978184704,205354194989,us-central1,UNKNOWN,unknown-4704,Legacy agent - needs investigation and decommission
